2020-03-19 20:34:33 install libgpg-error0:amd64 <none> 1.32-1
2020-03-19 20:34:33 status half-installed libgpg-error0:amd64 1.32-1
2020-03-19 20:34:33 status unpacked libgpg-error0:amd64 1.32-1
2020-03-19 20:34:33 status unpacked libgpg-error0:amd64 1.32-1
2020-03-19 20:34:33 install liblz4-1:amd64 <none> 1.8.2-1ubuntu1
2020-03-19 20:34:33 status half-installed liblz4-1:amd64 1.8.2-1ubuntu1
2020-03-19 20:34:33 status unpacked liblz4-1:amd64 1.8.2-1ubuntu1
2020-03-19 20:34:33 status unpacked liblz4-1:amd64 1.8.2-1ubuntu1
2020-03-19 20:34:33 install liblzma5:amd64 <none> 5.2.2-1.3
2020-03-19 20:34:33 status half-installed liblzma5:amd64 5.2.2-1.3
2020-03-19 20:34:33 status unpacked liblzma5:amd64 5.2.2-1.3
2020-03-19 20:34:33 status unpacked liblzma5:amd64 5.2.2-1.3
2020-03-19 20:34:33 install libmount1:amd64 <none> 2.32-0.1ubuntu2
2020-03-19 20:34:33 status half-installed libmount1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:33 status unpacked libmount1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:33 status unpacked libmount1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:33 install libncurses6:amd64 <none> 6.1+20180210-4ubuntu1
2020-03-19 20:34:33 status half-installed libncurses6:amd64 6.1+20180210-4ubuntu1
2020-03-19 20:34:33 status unpacked libncurses6:amd64 6.1+20180210-4ubuntu1
2020-03-19 20:34:33 status unpacked libncurses6:amd64 6.1+20180210-4ubuntu1
2020-03-19 20:34:33 install libncursesw6:amd64 <none> 6.1+20180210-4ubuntu1
2020-03-19 20:34:33 status half-installed libncursesw6:amd64 6.1+20180210-4ubuntu1
2020-03-19 20:34:33 status unpacked libncursesw6:amd64 6.1+20180210-4ubuntu1
2020-03-19 20:34:33 status unpacked libncursesw6:amd64 6.1+20180210-4ubuntu1
2020-03-19 20:34:33 install libpam-modules:amd64 <none> 1.1.8-3.6ubuntu2
2020-03-19 20:34:33 status half-installed libpam-modules:amd64 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 status unpacked libpam-modules:amd64 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 install libpam-modules-bin:amd64 <none> 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 status half-installed libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 status unpacked libpam-modules-bin:amd64 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 install libpam0g:amd64 <none> 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 status half-installed libpam0g:amd64 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 status unpacked libpam0g:amd64 1.1.8-3.6ubuntu2
2020-03-19 20:34:34 install libpcre3:amd64 <none> 2:8.39-11
2020-03-19 20:34:34 status half-installed libpcre3:amd64 2:8.39-11
2020-03-19 20:34:34 status unpacked libpcre3:amd64 2:8.39-11
2020-03-19 20:34:34 status unpacked libpcre3:amd64 2:8.39-11
2020-03-19 20:34:34 install libprocps7:amd64 <none> 2:3.3.15-2ubuntu1
2020-03-19 20:34:34 status half-installed libprocps7:amd64 2:3.3.15-2ubuntu1
2020-03-19 20:34:34 status unpacked libprocps7:amd64 2:3.3.15-2ubuntu1
2020-03-19 20:34:34 status unpacked libprocps7:amd64 2:3.3.15-2ubuntu1
2020-03-19 20:34:34 install libselinux1:amd64 <none> 2.8-1build1
2020-03-19 20:34:34 status half-installed libselinux1:amd64 2.8-1build1
2020-03-19 20:34:34 status unpacked libselinux1:amd64 2.8-1build1
2020-03-19 20:34:34 status unpacked libselinux1:amd64 2.8-1build1
2020-03-19 20:34:34 install libsemanage-common:all <none> 2.8-1build1
2020-03-19 20:34:34 status half-installed libsemanage-common:all 2.8-1build1
2020-03-19 20:34:34 status unpacked libsemanage-common:all 2.8-1build1
2020-03-19 20:34:34 status unpacked libsemanage-common:all 2.8-1build1
2020-03-19 20:34:34 install libsemanage1:amd64 <none> 2.8-1build1
2020-03-19 20:34:34 status half-installed libsemanage1:amd64 2.8-1build1
2020-03-19 20:34:34 status unpacked libsemanage1:amd64 2.8-1build1
2020-03-19 20:34:34 status unpacked libsemanage1:amd64 2.8-1build1
2020-03-19 20:34:34 install libsepol1:amd64 <none> 2.8-1
2020-03-19 20:34:34 status half-installed libsepol1:amd64 2.8-1
2020-03-19 20:34:34 status unpacked libsepol1:amd64 2.8-1
2020-03-19 20:34:34 status unpacked libsepol1:amd64 2.8-1
2020-03-19 20:34:34 install libsmartcols1:amd64 <none> 2.32-0.1ubuntu2
2020-03-19 20:34:34 status half-installed libsmartcols1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:34 status unpacked libsmartcols1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:34 status unpacked libsmartcols1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:34 install libss2:amd64 <none> 1.44.4-2
2020-03-19 20:34:34 status half-installed libss2:amd64 1.44.4-2
2020-03-19 20:34:34 status unpacked libss2:amd64 1.44.4-2
2020-03-19 20:34:34 status unpacked libss2:amd64 1.44.4-2
2020-03-19 20:34:34 install libsystemd0:amd64 <none> 239-7ubuntu10
2020-03-19 20:34:34 status half-installed libsystemd0:amd64 239-7ubuntu10
2020-03-19 20:34:34 status unpacked libsystemd0:amd64 239-7ubuntu10
2020-03-19 20:34:34 status unpacked libsystemd0:amd64 239-7ubuntu10
2020-03-19 20:34:34 install libtinfo6:amd64 <none> 6.1+20180210-4ubuntu1
2020-03-19 20:34:34 status half-installed libtinfo6:amd64 6.1+20180210-4ubuntu1
2020-03-19 20:34:34 status unpacked libtinfo6:amd64 6.1+20180210-4ubuntu1
2020-03-19 20:34:34 status unpacked libtinfo6:amd64 6.1+20180210-4ubuntu1
2020-03-19 20:34:34 install libudev1:amd64 <none> 239-7ubuntu10
2020-03-19 20:34:34 status half-installed libudev1:amd64 239-7ubuntu10
2020-03-19 20:34:34 status unpacked libudev1:amd64 239-7ubuntu10
2020-03-19 20:34:34 status unpacked libudev1:amd64 239-7ubuntu10
2020-03-19 20:34:34 install libuuid1:amd64 <none> 2.32-0.1ubuntu2
2020-03-19 20:34:34 status half-installed libuuid1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:34 status unpacked libuuid1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:34 status unpacked libuuid1:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:34 install libzstd1:amd64 <none> 1.3.5+dfsg-1ubuntu1
2020-03-19 20:34:34 status half-installed libzstd1:amd64 1.3.5+dfsg-1ubuntu1
2020-03-19 20:34:34 status unpacked libzstd1:amd64 1.3.5+dfsg-1ubuntu1
2020-03-19 20:34:34 status unpacked libzstd1:amd64 1.3.5+dfsg-1ubuntu1
2020-03-19 20:34:34 install login:amd64 <none> 1:4.5-1ubuntu1
2020-03-19 20:34:34 status half-installed login:amd64 1:4.5-1ubuntu1
2020-03-19 20:34:34 status unpacked login:amd64 1:4.5-1ubuntu1
2020-03-19 20:34:34 status unpacked login:amd64 1:4.5-1ubuntu1
2020-03-19 20:34:34 install lsb-base:all <none> 9.20170808ubuntu1
2020-03-19 20:34:34 status half-installed lsb-base:all 9.20170808ubuntu1
2020-03-19 20:34:35 status unpacked lsb-base:all 9.20170808ubuntu1
2020-03-19 20:34:35 status unpacked lsb-base:all 9.20170808ubuntu1
2020-03-19 20:34:35 upgrade mawk:amd64 1.3.3-17ubuntu3 1.3.3-17ubuntu3
2020-03-19 20:34:35 status half-configured mawk:amd64 1.3.3-17ubuntu3
2020-03-19 20:34:35 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-03-19 20:34:35 status half-installed mawk:amd64 1.3.3-17ubuntu3
2020-03-19 20:34:35 status half-installed mawk:amd64 1.3.3-17ubuntu3
2020-03-19 20:34:35 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-03-19 20:34:35 status unpacked mawk:amd64 1.3.3-17ubuntu3
2020-03-19 20:34:35 install mount:amd64 <none> 2.32-0.1ubuntu2
2020-03-19 20:34:35 status half-installed mount:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:35 status unpacked mount:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:35 status unpacked mount:amd64 2.32-0.1ubuntu2
2020-03-19 20:34:35 install ncurses-base:all <none> 6.1+20180210-4ubuntu1
2020-03-19 20:34:35 status half-installed ncurses-base:all 6.1+20180210-4ubuntu1
2020-03-19 20:34:35 status unpacked ncurses-base:all 6.1+20180210-4ubuntu1
2020-03-19 20:34:35 status unpacked ncurses-base:all 6.1+20180210-4ubuntu1
2020-03-19 20:34:35 install ncurses-bin:amd64 <none> 6.1+20180210-4ubuntu1
2020-03-19 20:34:35 status half-installed ncurses-bin:amd64 6.1+20180210-4ubuntu1
2020-03-19 20:34:35 status unpacked ncurses-bin:amd64 6.1+20180210-4ubuntu1
2020-03-19 20:34:35 status unpacked ncurses-bin:amd64 6.1+20180210-4ubuntu1
2020-03-19 20:34:35 install passwd:amd64 <none> 1:4.5-1ubuntu1
2020-03-19 20:34:35 status half-installed passwd:amd64 1:4.5-1ubuntu1
2020-03-19 20:34:35 status unpacked passwd:amd64 1:4.5-1ubuntu1
2020-03-19 20:34:35 status unpacked passwd:amd64 1:4.5-1ubuntu1
